Rank,Food Name,Serving,folate-b9-v2 amount,Percent DV,Source
123,"Cowpeas (blackeyes), immature seeds, raw",100 grams,168mcg,(42% DV),Standard Release
124,"Onions, dehydrated flakes",100 grams,166mcg,(42% DV),Standard Release
125,Raw Green Soybeans,100 grams,165mcg,(41% DV),Standard Release
126,"Corn flour, masa, enriched, white",100 grams,162mcg,(41% DV),Standard Release
127,"Corn flour, yellow, masa, enriched",100 grams,162mcg,(41% DV),Standard Release
128,"Pepeao, dried",100 grams,160mcg,(40% DV),Standard Release
129,"Mung beans, mature seeds, cooked, boiled, with salt",100 grams,159mcg,(40% DV),Standard Release
130,"Seeds, safflower seed meal, partially defatted",100 grams,159mcg,(40% DV),Standard Release
131,"Egg, yolk, raw, frozen, pasteurized",100 grams,151mcg,(38% DV),Standard Release
132,"Lima beans, thin seeded (baby), mature seeds, cooked, boiled, with salt",100 grams,150mcg,(38% DV),Standard Release
133,"Lima beans, thin seeded (baby), mature seeds, cooked, boiled, without salt",100 grams,150mcg,(38% DV),Standard Release
134,"Beans, black, mature seeds, cooked, boiled, with salt",100 grams,149mcg,(37% DV),Standard Release
135,"Asparagus, cooked, boiled, drained, with salt",100 grams,149mcg,(37% DV),Standard Release
136,"Okra, frozen, unprepared",100 grams,148mcg,(37% DV),Standard Release
137,"Yardlong beans, mature seeds, cooked, boiled, with salt",100 grams,146mcg,(37% DV),Standard Release
138,"Yardlong beans, mature seeds, cooked, boiled, without salt",100 grams,146mcg,(37% DV),Standard Release
139,"Spinach, cooked, boiled, drained, with salt",100 grams,146mcg,(37% DV),Standard Release
140,"Spinach, frozen, chopped or leaf, unprepared",100 grams,145mcg,(36% DV),Standard Release
141,"Peanut spread, reduced sugar",100 grams,144mcg,(36% DV),Standard Release
142,"Mothbeans, mature seeds, cooked, boiled, with salt",100 grams,143mcg,(36% DV),Standard Release
143,"Mothbeans, mature seeds, cooked, boiled, without salt",100 grams,143mcg,(36% DV),Standard Release
144,"Nuts, formulated, wheat-based, unflavored, with salt added",100 grams,142mcg,(36% DV),Standard Release
145,"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",100 grams,142mcg,(36% DV),Standard Release
146,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",100 grams,141mcg,(35% DV),Standard Release
147,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",100 grams,141mcg,(35% DV),Standard Release
148,"Beans, navy, mature seeds, cooked, boiled, with salt",100 grams,140mcg,(35% DV),Standard Release
149,"Mustard greens, frozen, unprepared",100 grams,138mcg,(35% DV),Standard Release
150,"Beans, small white, mature seeds, cooked, boiled, with salt",100 grams,137mcg,(34% DV),Standard Release
151,"Wheat flour, white, tortilla mix, enriched",100 grams,136mcg,(34% DV),Standard Release
152,"Asparagus, frozen, cooked, boiled, drained, without salt",100 grams,135mcg,(34% DV),Standard Release
153,"Asparagus, frozen, cooked, boiled, drained, with salt",100 grams,135mcg,(34% DV),Standard Release
154,"Peanut flour, low fat",100 grams,133mcg,(33% DV),Standard Release
155,"Beans, navy, mature seeds, sprouted, raw",100 grams,132mcg,(33% DV),Standard Release
156,"Beans, kidney, red, mature seeds, cooked, boiled, with salt",100 grams,130mcg,(33% DV),Standard Release
157,"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",100 grams,130mcg,(33% DV),Standard Release
158,"Balsam-pear (bitter gourd), leafy tips, raw",100 grams,128mcg,(32% DV),Standard Release
159,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",100 grams,127mcg,(32% DV),Standard Release
160,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",100 grams,127mcg,(32% DV),Standard Release
161,"Bacon bits, meatless",100 grams,127mcg,(32% DV),Standard Release
162,"Artichokes, (globe or french), frozen, unprepared",100 grams,126mcg,(32% DV),Standard Release
163,"Peanuts, valencia, oil-roasted, with salt",100 grams,126mcg,(32% DV),Standard Release
164,"Peanuts, spanish, oil-roasted, with salt",100 grams,126mcg,(32% DV),Standard Release
165,"Taro leaves, raw",100 grams,126mcg,(32% DV),Standard Release
166,"Peanuts, valencia, oil-roasted, without salt",100 grams,126mcg,(32% DV),Standard Release
167,"Peanuts, spanish, oil-roasted, without salt",100 grams,126mcg,(32% DV),Standard Release
168,"Nuts, formulated, wheat-based, all flavors except macadamia, without salt",100 grams,125mcg,(31% DV),Standard Release
169,"Noodles, chinese, chow mein",100 grams,125mcg,(31% DV),Standard Release
170,"Peanuts, virginia, oil-roasted, with salt",100 grams,125mcg,(31% DV),Standard Release
171,"Egg substitute, powder",100 grams,125mcg,(31% DV),Standard Release
172,"Peanuts, virginia, oil-roasted, without salt",100 grams,125mcg,(31% DV),Standard Release
173,"Brussels sprouts, frozen, unprepared",100 grams,123mcg,(31% DV),Standard Release
174,"Jute, potherb, raw",100 grams,123mcg,(31% DV),Standard Release
175,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",100 grams,121mcg,(30% DV),Standard Release
176,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",100 grams,121mcg,(30% DV),Standard Release
177,"Beans, adzuki, mature seed, cooked, boiled, with salt",100 grams,121mcg,(30% DV),Standard Release
178,"Peanuts, all types, oil-roasted, without salt",100 grams,120mcg,(30% DV),Standard Release
179,"Peanuts, all types, oil-roasted, with salt",100 grams,120mcg,(30% DV),Standard Release
180,Tomato powder,100 grams,120mcg,(30% DV),Standard Release
181,"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",100 grams,119mcg,(30% DV),Standard Release
182,"Beans, pinto, mature seeds, sprouted, raw",100 grams,118mcg,(30% DV),Standard Release
183,"Turnip greens, cooked, boiled, drained, with salt",100 grams,118mcg,(30% DV),Standard Release
184,"Shallots, freeze-dried",100 grams,116mcg,(29% DV),Standard Release
185,"Seeds, sesame seed kernels, dried (decorticated)",100 grams,115mcg,(29% DV),Standard Release
186,"Nuts, acorn flour, full fat",100 grams,114mcg,(29% DV),Standard Release
187,"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry",100 grams,114mcg,(29% DV),Standard Release
188,"Seeds, breadnut tree seeds, dried",100 grams,113mcg,(28% DV),Standard Release
189,"Fireweed, leaves, raw",100 grams,112mcg,(28% DV),Standard Release
190,"Egg, yolk, raw, frozen, salted, pasteurized",100 grams,112mcg,(28% DV),Standard Release
191,"Pigeon peas (red gram), mature seeds, cooked, boiled, without salt",100 grams,111mcg,(28% DV),Standard Release
192,"Pigeon peas (red gram), mature seeds, cooked, boiled, with salt",100 grams,111mcg,(28% DV),Standard Release
193,"Soybeans, green, cooked, boiled, drained, with salt",100 grams,111mcg,(28% DV),Standard Release
194,"Nuts, chestnuts, european, dried, peeled",100 grams,110mcg,(28% DV),Standard Release
195,"Nuts, chestnuts, european, dried, unpeeled",100 grams,109mcg,(27% DV),Standard Release
196,"Broccoli, cooked, boiled, drained, with salt",100 grams,108mcg,(27% DV),Standard Release
197,"Beans, adzuki, mature seeds, canned, sweetened",100 grams,107mcg,(27% DV),Standard Release
198,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",100 grams,106mcg,(27% DV),Standard Release
199,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",100 grams,106mcg,(27% DV),Standard Release
200,"Broadbeans (fava beans), mature seeds, cooked, boiled, with salt",100 grams,104mcg,(26% DV),Standard Release
