Rank,Food Name,Serving,iron-v2 amount,Percent DV,Source
63,"Beans, pink, mature seeds, raw",100 grams,6.8mg,(38% DV),Standard Release
64,"Mung beans, mature seeds, raw",100 grams,6.7mg,(37% DV),Standard Release
65,"Radishes, oriental, dried",100 grams,6.7mg,(37% DV),Standard Release
66,"Broadbeans (fava beans), mature seeds, raw",100 grams,6.7mg,(37% DV),Standard Release
67,"Beans, kidney, red, mature seeds, raw",100 grams,6.7mg,(37% DV),Standard Release
68,"Seeds, sunflower seed flour, partially defatted",100 grams,6.6mg,(37% DV),Standard Release
69,"Lentils, raw",100 grams,6.5mg,(36% DV),Standard Release
70,"Noodles, chinese, chow mein",100 grams,6.4mg,(36% DV),Standard Release
71,"Soy flour, full-fat, raw",100 grams,6.4mg,(35% DV),Standard Release
72,"Seeds, sesame seed kernels, dried (decorticated)",100 grams,6.4mg,(35% DV),Standard Release
73,"Seeds, sesame butter, tahini, from unroasted kernels (non-chemically removed seed coat)",100 grams,6.4mg,(35% DV),Standard Release
74,"Rice, white, long-grain, precooked or instant, enriched, dry",100 grams,6.3mg,(35% DV),Standard Release
75,"Wheat germ, crude",100 grams,6.3mg,(35% DV),Standard Release
76,"Lima beans, thin seeded (baby), mature seeds, raw",100 grams,6.2mg,(34% DV),Standard Release
77,"Pepeao, dried",100 grams,6.1mg,(34% DV),Standard Release
78,"Potatoes, boiled, cooked in skin, skin, without salt",100 grams,6.1mg,(34% DV),Standard Release
79,"Potatoes, boiled, cooked in skin, skin, with salt",100 grams,6.1mg,(34% DV),Standard Release
80,"Nuts, cashew nuts, oil roasted, with salt added",100 grams,6.1mg,(34% DV),Standard Release
81,"Nuts, cashew nuts, dry roasted, with salt added",100 grams,6mg,(33% DV),Standard Release
82,"Shallots, freeze-dried",100 grams,6mg,(33% DV),Standard Release
83,"Potatoes, microwaved, cooked in skin, skin, without salt",100 grams,5.9mg,(33% DV),Standard Release
84,"Potatoes, microwaved, cooked, in skin, skin with salt",100 grams,5.9mg,(33% DV),Standard Release
85,"Soy flour, full-fat, roasted",100 grams,5.8mg,(32% DV),Standard Release
86,"Cornmeal, white, self-rising, bolted, plain, enriched",100 grams,5.8mg,(32% DV),Standard Release
87,"Cornmeal, yellow, self-rising, bolted, plain, enriched",100 grams,5.8mg,(32% DV),Standard Release
88,"Soybean, curd cheese",100 grams,5.6mg,(31% DV),Standard Release
89,"Beans, navy, mature seeds, raw",100 grams,5.5mg,(31% DV),Standard Release
90,Beans Great Northern Mature Seeds Raw,100 grams,5.5mg,(30% DV),Standard Release
91,"Seeds, cottonseed kernels, roasted (glandless)",100 grams,5.4mg,(30% DV),Standard Release
92,"Wheat, soft white",100 grams,5.4mg,(30% DV),Standard Release
93,"Pigeon peas (red gram), mature seeds, raw",100 grams,5.2mg,(29% DV),Standard Release
94,Vital wheat gluten,100 grams,5.2mg,(29% DV),Standard Release
95,"Nuts, mixed nuts, oil roasted, without peanuts, lightly salted",100 grams,5.2mg,(29% DV),Standard Release
96,"Soybeans, mature seeds, cooked, boiled, with salt",100 grams,5.1mg,(29% DV),Standard Release
97,"Hyacinth beans, mature seeds, raw",100 grams,5.1mg,(28% DV),Standard Release
98,Beans Pinto Mature Seeds Raw,100 grams,5.1mg,(28% DV),Standard Release
99,"Wheat flour, white (industrial), 13% protein, bleached, enriched",100 grams,5.1mg,(28% DV),Standard Release
100,"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",100 grams,5.1mg,(28% DV),Standard Release
101,"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",100 grams,5.1mg,(28% DV),Standard Release
102,"Wheat flour, white (industrial), 10% protein, unbleached, enriched",100 grams,5.1mg,(28% DV),Standard Release
103,"Wheat flour, white (industrial), 9% protein, bleached, enriched",100 grams,5.1mg,(28% DV),Standard Release
104,"Wheat flour, white (industrial), 10% protein, bleached, enriched",100 grams,5.1mg,(28% DV),Standard Release
105,"Wheat flour, white (industrial), 15% protein, bleached, enriched",100 grams,5.1mg,(28% DV),Standard Release
106,"Beans, black, mature seeds, raw",100 grams,5mg,(28% DV),Standard Release
107,"Beans, cranberry (roman), mature seeds, raw",100 grams,5mg,(28% DV),Standard Release
108,"Parmesan cheese topping, fat free",100 grams,5mg,(28% DV),Standard Release
109,"Beans, adzuki, mature seeds, raw",100 grams,5mg,(28% DV),Standard Release
110,"Rye flour, dark",100 grams,5mg,(28% DV),Standard Release
111,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",100 grams,5mg,(28% DV),Standard Release
112,"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",100 grams,5mg,(28% DV),Standard Release
113,"Nuts, cashew butter, plain, with salt added",100 grams,4.9mg,(27% DV),Standard Release
114,"Tofu, fried, prepared with calcium sulfate",100 grams,4.9mg,(27% DV),Standard Release
115,"Tofu, fried",100 grams,4.9mg,(27% DV),Standard Release
116,Chickpea flour (besan),100 grams,4.9mg,(27% DV),Standard Release
117,"Seeds, safflower seed meal, partially defatted",100 grams,4.9mg,(27% DV),Standard Release
118,"Jute, potherb, raw",100 grams,4.8mg,(26% DV),Standard Release
119,"Peanut flour, low fat",100 grams,4.7mg,(26% DV),Standard Release
120,"Cornmeal, white, self-rising, degermed, enriched",100 grams,4.7mg,(26% DV),Standard Release
121,"Cornmeal, yellow, self-rising, degermed, enriched",100 grams,4.7mg,(26% DV),Standard Release
122,"Peas, green, split, mature seeds, raw",100 grams,4.7mg,(26% DV),Standard Release
123,Barley malt flour,100 grams,4.7mg,(26% DV),Standard Release
124,"Wheat flour, white, all-purpose, self-rising, enriched",100 grams,4.7mg,(26% DV),Standard Release
125,"Wheat flour, white, all-purpose, enriched, calcium-fortified",100 grams,4.6mg,(26% DV),Standard Release
126,All Purpose Flour (Enrinched and Unbleached),100 grams,4.6mg,(26% DV),Standard Release
127,"Wheat flour, white, all-purpose, enriched, bleached",100 grams,4.6mg,(26% DV),Standard Release
128,"Seeds, breadnut tree seeds, dried",100 grams,4.6mg,(26% DV),Standard Release
129,"Hyacinth beans, mature seeds, cooked, boiled, with salt",100 grams,4.6mg,(25% DV),Standard Release
130,"Hyacinth beans, mature seeds, cooked, boiled, without salt",100 grams,4.6mg,(25% DV),Standard Release
131,"Quinoa, uncooked",100 grams,4.6mg,(25% DV),Standard Release
132,"Wheat, hard white",100 grams,4.6mg,(25% DV),Standard Release
133,Tomato powder,100 grams,4.6mg,(25% DV),Standard Release
134,"Egg, yolk, raw, frozen, pasteurized",100 grams,4.6mg,(25% DV),Standard Release
135,"Spelt, uncooked",100 grams,4.4mg,(25% DV),Standard Release
136,"Seeds, sesame butter, tahini, type of kernels unspecified",100 grams,4.4mg,(25% DV),Standard Release
137,"Wheat flour, white, bread, enriched",100 grams,4.4mg,(25% DV),Standard Release
138,"Semolina, enriched",100 grams,4.4mg,(24% DV),Standard Release
139,"Cornmeal, degermed, enriched, white",100 grams,4.4mg,(24% DV),Standard Release
140,"Rice, white, medium-grain, raw, enriched",100 grams,4.4mg,(24% DV),Standard Release
141,"Cornmeal, degermed, enriched, yellow",100 grams,4.4mg,(24% DV),Standard Release
142,"Lupins, mature seeds, raw",100 grams,4.4mg,(24% DV),Standard Release
143,"Winged beans, mature seeds, cooked, boiled, with salt",100 grams,4.3mg,(24% DV),Standard Release
144,"Winged beans, mature seeds, cooked, boiled, without salt",100 grams,4.3mg,(24% DV),Standard Release
145,"Rice, white, long-grain, regular, raw, enriched",100 grams,4.3mg,(24% DV),Standard Release
146,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",100 grams,4.3mg,(24% DV),Standard Release
147,"Seeds, sunflower seed kernels, oil roasted, with salt added",100 grams,4.3mg,(24% DV),Standard Release
148,"Macaroni, vegetable, enriched, dry",100 grams,4.3mg,(24% DV),Standard Release
149,"Seeds, sunflower seed kernels, oil roasted, without salt",100 grams,4.3mg,(24% DV),Standard Release
150,"Rice, white, short-grain, enriched, uncooked",100 grams,4.2mg,(24% DV),Standard Release
151,"Noodles, egg, spinach, enriched, dry",100 grams,4.2mg,(23% DV),Standard Release
152,"Spaghetti, protein-fortified, dry, enriched (n x 6.25)",100 grams,4.2mg,(23% DV),Standard Release
153,"Seeds, sunflower seed butter, without salt",100 grams,4.1mg,(23% DV),Standard Release
154,Seeds Sunflower Seed Butter With Salt Added,100 grams,4.1mg,(23% DV),Standard Release
155,"Egg, turkey, whole, fresh, raw",100 grams,4.1mg,(23% DV),Standard Release
156,"Buckwheat flour, whole-groat",100 grams,4.1mg,(23% DV),Standard Release
157,"Nuts, pistachio nuts, dry roasted, with salt added",100 grams,4mg,(22% DV),Standard Release
158,"Noodles, egg, dry, enriched",100 grams,4mg,(22% DV),Standard Release
159,"Winged bean leaves, raw",100 grams,4mg,(22% DV),Standard Release
160,"Oat flour, partially debranned",100 grams,4mg,(22% DV),Standard Release
161,"Drumstick leaves, raw",100 grams,4mg,(22% DV),Standard Release
162,Millet flour,100 grams,3.9mg,(22% DV),Standard Release
163,"Carrot, dehydrated",100 grams,3.9mg,(22% DV),Standard Release
164,"Peanuts, spanish, raw",100 grams,3.9mg,(22% DV),Standard Release
165,"Soybeans, mature seeds, roasted, salted",100 grams,3.9mg,(22% DV),Standard Release
166,"Soybeans, mature seeds, roasted, no salt added",100 grams,3.9mg,(22% DV),Standard Release
167,"Nuts, almonds, oil roasted, with salt added, smoke flavor",100 grams,3.9mg,(21% DV),Standard Release
168,"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS",100 grams,3.9mg,(21% DV),Standard Release
169,"Egg, duck, whole, fresh, raw",100 grams,3.9mg,(21% DV),Standard Release
170,"Chicken, meatless, breaded, fried",100 grams,3.8mg,(21% DV),Standard Release
171,"Seeds, sunflower seed kernels, dry roasted, with salt added",100 grams,3.8mg,(21% DV),Standard Release
172,"Wheat, KAMUT khorasan, uncooked",100 grams,3.8mg,(21% DV),Standard Release
173,"Chrysanthemum, garland, cooked, boiled, drained, with salt",100 grams,3.7mg,(21% DV),Standard Release
174,"Nuts, almonds, dry roasted, with salt added",100 grams,3.7mg,(21% DV),Standard Release
175,"Sausage, meatless",100 grams,3.7mg,(21% DV),Standard Release
176,"Wheat flour, whole-grain, soft wheat",100 grams,3.7mg,(21% DV),Standard Release
177,"Nuts, mixed nuts, dry roasted, with peanuts, with salt added",100 grams,3.7mg,(21% DV),Standard Release
178,"Egg, yolk, raw, frozen, sugared, pasteurized",100 grams,3.7mg,(21% DV),Standard Release
179,"Beans, white, mature seeds, cooked, boiled, with salt",100 grams,3.7mg,(21% DV),Standard Release
180,"Nuts, almonds, oil roasted, lightly salted",100 grams,3.7mg,(20% DV),Standard Release
181,"Nuts, almonds, oil roasted, without salt added",100 grams,3.7mg,(20% DV),Standard Release
182,"Nuts, almonds, oil roasted, with salt added",100 grams,3.7mg,(20% DV),Standard Release
183,"Seeds, breadfruit seeds, raw",100 grams,3.7mg,(20% DV),Standard Release
184,"Egg, quail, whole, fresh, raw",100 grams,3.7mg,(20% DV),Standard Release
185,"Egg, goose, whole, fresh, raw",100 grams,3.6mg,(20% DV),Standard Release
186,"Borage, cooked, boiled, drained, without salt",100 grams,3.6mg,(20% DV),Standard Release
187,"Borage, cooked, boiled, drained, with salt",100 grams,3.6mg,(20% DV),Standard Release
188,Dry Whole-Wheat Pasta,100 grams,3.6mg,(20% DV),Standard Release
189,Whole Grain Wheat Flour,100 grams,3.6mg,(20% DV),Standard Release
190,"Wheat, hard red spring",100 grams,3.6mg,(20% DV),Standard Release
191,"Barley, hulled",100 grams,3.6mg,(20% DV),Standard Release
192,"Spinach, cooked, boiled, drained, with salt",100 grams,3.6mg,(20% DV),Standard Release
193,Raw Green Soybeans,100 grams,3.6mg,(20% DV),Standard Release
194,"Wheat, durum",100 grams,3.5mg,(20% DV),Standard Release
195,"Potatoes, mashed, dehydrated, granules with milk, dry form",100 grams,3.5mg,(19% DV),Standard Release
196,"Nuts, almond butter, plain, with salt added",100 grams,3.5mg,(19% DV),Standard Release
197,"Tomato products, canned, sauce, spanish style",100 grams,3.5mg,(19% DV),Standard Release
198,"Nuts, mixed nuts, dry roasted, with peanuts, salt added, PLANTERS pistachio blend",100 grams,3.4mg,(19% DV),Standard Release
199,"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry",100 grams,3.4mg,(19% DV),Standard Release
200,"Jerusalem-artichokes, raw",100 grams,3.4mg,(19% DV),Standard Release
